tokenchunk1,tokenchunk2,label
the meeting,repeated,BEFORE
the meeting,was handled,INCLUDES
the meeting,the meeting,IDENTITY
criticized,the meeting,AFTER
an interview,criticized,INCLUDES
received,the encounter,IS_INCLUDED
offered,received,AFTER
read,offered,BEFORE
said,thought,AFTER
Wednesday QUOTs meeting,said,BEFORE
Wednesday QUOTs meeting,the meeting,IDENTITY
its condemnation,the handling,AFTER
the handling,Wednesday QUOTs meeting,AFTER
kept,Wednesday QUOTs meeting,AFTER
kept,its condemnation,BEFORE
backed,is fighting,BEFORE
is fighting,to keep,BEFORE
has said,should be reunited,BEFORE
has demanded,has said,BEFORE
has demanded,be returned,BEFORE
trying to reach,trying to reach,BEFORE
died,trying to reach,IS_INCLUDED
was rescued,died,AFTER
clinging,died,AFTER
was rescued,clinging,ENDS
to draw,was rescued,BEGUN_BY
such traditional political events,other rallies,BEFORE
has been using,other rallies,INCLUDES
has been using,such traditional political events,INCLUDES
kidnapped QUOTQUOT,a QUOTQUOT kidnapping,IDENTITY
wore,a QUOTQUOT kidnapping,AFTER
marched,wore,INCLUDES
chanting QUOTQUOT,will save,BEFORE
began,Similar events,BEFORE
Similar events,marched,INCLUDES
marched,chanting QUOTQUOT,INCLUDES
Similar events,were held,IS_INCLUDED
began,marched,BEFORE
wore,bearing,INCLUDES
held,fought,AFTER
has been converted,committing,AFTER
said,has been converted,AFTER
compared,said,BEFORE
called,compared,BEFORE
recited,wrote,AFTER
rallies,recited,INCLUDES
rescue,set,BEFORE
flooded,to deliver,BEFORE
rallies,flooded,INCLUDES
calling,the return,BEFORE
rallies,calling,INCLUDES
celebrated,rallies,INCLUDES
celebrated,the birth,AFTER
said,celebrated,AFTER
had earlier suffered,seven miscarriages,INCLUDES
loved,had earlier suffered,AFTER
said,loved,AFTER
to be jailed,said,BEFORE
the ill-fated journey,the late-November trip,IDENTITY
to make,the late-November trip,AFTER
practically kidnapped,the late-November trip,BEFORE
practically kidnapped,to make,BEFORE
kidnapped QUOTQUOT,practically kidnapped,IDENTITY
returned,to be jailed,BEFORE
kidnapped QUOTQUOT,had amassed QUOTQUOT,AFTER
died,had amassed QUOTQUOT,AFTER
called,had amassed QUOTQUOT,AFTER
engaged,had amassed QUOTQUOT,BEFORE
drove,engaged,SIMULTANEOUS
kidnapped QUOTQUOT,drove,AFTER
called,drove,AFTER
a conference,called,INCLUDES
placed,called,BEFORE
perished,died,IDENTITY
the ill-fated journey,died,INCLUDES
survived,the ill-fated journey,AFTER
perished,the ill-fated journey,IS_INCLUDED
wreck,the ill-fated journey,IS_INCLUDED
a conference,placed,INCLUDES
placed,the ill-fated journey,AFTER
organized,the ill-fated journey,BEFORE
wreck,organized,AFTER
survived,sacrificed,AFTER
sacrificed,organized,AFTER
placed,organized,AFTER
were aimed,called,BEFORE
a conference,called,INCLUDES
sacrificed,to take,BEFORE
say,sacrificed,AFTER
were aimed,say,AFTER
a conference,were aimed,INCLUDES
said,a conference,IS_INCLUDED
wreck,survived,BEFORE
perished,wreck,AFTER
kidnapped QUOTQUOT,perished,BEFORE
said,kidnapped QUOTQUOT,AFTER
said,dated,AFTER
questioning,said,SIMULTANEOUS
exists,can compete,BEFORE
exists,said,IS_INCLUDED
asking,Elian QUOTs return,BEFORE
published,asking,BEFORE
say,died to give,AFTER
dismissed,say,AFTER
dismissed,the criticism,AFTER
said,dismissed,BEFORE
told,said,BEFORE
the convictions,prove,BEFORE
said,the convictions,AFTER
was found,driving,AFTER
has been found,driving,AFTER
show,has been found,AFTER
show,show,BEFORE
show,was found,AFTER
see COMMA,said COMMA,AFTER
QUOTll have to look,see COMMA,BEFORE
said,acted,AFTER
was put,said,BEFORE
the Miami relatives battle,to keep,BEFORE
was put,the Miami relatives battle,SIMULTANEOUS
has ruled,was put,BEFORE
that decision,was put,AFTER
has ruled,that decision,BEFORE
be returned,that decision,AFTER
has ruled,be returned,BEFORE
has ruled,the father QUOTs request,AFTER
was placed,has ruled,BEFORE
a boat wreck,killed,BEFORE
was placed,a boat wreck,AFTER
being found clinging,a boat wreck,AFTER
being found clinging,being found clinging,ENDS
was placed,being found clinging,AFTER
requested,was placed,AFTER
requested,to shift,BEFORE
requested,said,BEFORE
denounced,extolled,BEFORE
press,the boy QUOTs return,BEFORE
a daily public rally,press,BEFORE
has become,a daily public rally,BEFORE
joined,a packed auditorium,AFTER
his return,returned,IDENTITY
want,returned,BEFORE
met,want,AFTER
oppose,his return,BEFORE
met,oppose,AFTER
introduced,has been waning,BEFORE
give,has been waning,AFTER
would take,give,BEFORE
would take,the decision,BEFORE
introduced,would take,BEFORE
introduced,to grant,BEFORE
said,said,BEFORE
learning,said,BEFORE
can go COMMA meaning go,can go COMMA meaning go,IDENTITY
can go COMMA meaning go,can go COMMA meaning go,BEFORE
can go COMMA meaning go,can go COMMA meaning go,AFTER
was QUOTQUOT take,can go COMMA meaning go,BEFORE
learning,can go COMMA meaning go,BEFORE
was QUOTQUOT take,care,BEFORE
learning,was QUOTQUOT take,BEFORE
perished,learning,BEFORE
had spoken,perished,BEFORE
said,had spoken,AFTER
said,said,BEFORE
said,said,BEFORE
wanted to reunite,said,BEFORE
but was being coerced,wanted to reunite,AFTER
to stay,make,BEFORE
but was being coerced,to stay,BEFORE
had intended to flee,but was being coerced,BEFORE
had intended to flee,had intended to flee,BEFORE
said,had intended to flee,AFTER
said,said,BEFORE
are doing,said,BEFORE
told,are doing,BEFORE
a news conference,alcohol-related violations,AFTER
told,a news conference,IS_INCLUDED
would help keep,would help keep,BEFORE
sought,would help keep,BEFORE
have been renewed,said,BEFORE
withdraw,have been renewed,BEFORE
discussions,have been renewed,AFTER
withdraw,discussions,BEFORE
agreed,withdraw,BEFORE
agreed,a meeting,BEFORE
objected,selected,AFTER
objected,has permitted and,AFTER
considering,objected,BEFORE
considering,shifted,BEFORE
considering,a request,AFTER
need to be taken,need to be taken,BEFORE
decide,need to be taken,BEFORE
try to make,decide,BEFORE
try to make,try to make,BEFORE
will look,try to make,BEFORE
said,will look,BEFORE
alcohol-related driving violations,the violations,IDENTITY
said,the violations,AFTER
said,asked,AFTER
is reviewing,warrant moving,BEFORE
alcohol-related driving violations,other actions,BEFORE
is reviewing,other actions,AFTER
is reviewing,alcohol-related driving violations,AFTER
ruled,to speak,INCLUDES
have moved to dismiss,arguing,INCLUDES
have moved to dismiss,have moved to dismiss,BEFORE
filed,have moved to dismiss,BEFORE
holding,a political asylum hearing,INCLUDES
filed,holding,BEFORE
can not return,holding,AFTER
filed,can not return,BEFORE
filed,arguing,INCLUDES
must be dreaming,to allow,AFTER
said,must be dreaming,INCLUDES
must not have written,said,BEFORE
say,maintains,BEFORE
died to give,died to give,BEFORE
say,died to give,AFTER
is fighting to keep,is fighting to keep,BEFORE
the custody battle,an international custody battle,IDENTITY
was found,sank,AFTER
an international custody battle,was found,BEGUN_BY
to block,his return,BEFORE
an attempt,to block,BEFORE
does not recognize,an attempt,AFTER
said,does not recognize,AFTER
retaining,said,BEFORE
object,retaining,AFTER
object,the legal moves,AFTER
said,was reviewing,AFTER
wrote,said,BEFORE
hearing,the custody battle,AFTER
wrote,hearing,AFTER
saying,does not recognize,AFTER
wrote,saying,INCLUDES
demanding,saying,SIMULTANEOUS
demanding,be returned,BEFORE
wrote,demanding,INCLUDES
have said,think,AFTER
are fighting to keep,have said,AFTER
are fighting to keep,are fighting to keep,BEFORE
the request,are fighting to keep,SIMULTANEOUS
the request,to be opposed,BEFORE
no immediate response,the request,AFTER
wants,the request,IDENTITY
published,no immediate response,BEFORE
published,lack,BEFORE
wrote,published,BEFORE
his prolonged kidnapping,wrote,BEFORE
wants,Miami and check,BEFORE
wants,to meet,BEFORE
said,wants,INCLUDES
said,published,IS_INCLUDED
ruled,to speak,INCLUDES
have moved to dismiss,arguing,INCLUDES
have moved to dismiss,have moved to dismiss,BEFORE
filed,have moved to dismiss,BEFORE
can not return,a political asylum hearing,AFTER
holding,a political asylum hearing,BEFORE
can not return,holding,AFTER
arguing,holding,BEFORE
filed,can not return,BEFORE
arguing,can not return,BEFORE
filed,arguing,INCLUDES
must be dreaming,to allow,AFTER
said,must be dreaming,INCLUDES
must not have written,said,BEFORE
maintains,kept,INCLUDES
say,maintains,SIMULTANEOUS
died to give,died to give,BEFORE
died,died to give,IDENTITY
say,died to give,AFTER
an international custody battle,say,INCLUDES
is fighting to keep,is fighting to keep,BEFORE
an international custody battle,is fighting to keep,INCLUDES
died,sank,AFTER
was found,died,AFTER
an international custody battle,was found,BEGUN_BY
to block,his return,BEFORE
an attempt,to block,BEFORE
said,an attempt,BEFORE
said,does not recognize,AFTER
said,dated,AFTER
retaining,said,IS_INCLUDED
the legal moves,said,BEFORE
object,said,IS_INCLUDED
said,was reviewing,AFTER
had written,said,BEFORE
hearing,the custody battle,AFTER
saying,hearing,AFTER
saying,did not recognize,INCLUDES
demanding,saying,SIMULTANEOUS
demanding,be returned,BEFORE
had written,demanding,INCLUDES
called,the return,BEFORE
sitting,called,DURING
gathered,being kept,BEFORE
gathered,support,AFTER
gathered,to denounce,BEFORE
the revolution,brought,INCLUDES
have said,think,INCLUDES
the request,have said,AFTER
are fighting to keep,are fighting to keep,BEFORE
to be opposed,are fighting to keep,IS_INCLUDED
the request,to be opposed,BEFORE
wants,the request,IDENTITY
no immediate response,the request,AFTER
wants,no immediate response,BEFORE
wrote,published,BEFORE
wants,Miami and check,BEFORE
wants,to meet,BEFORE
said,wants,INCLUDES
said,published,IS_INCLUDED
revealed,had been shared,AFTER
another live television appearance,a speech,INCLUDES
raised,another live television appearance,IS_INCLUDED
denied,said,BEFORE
entered,said,BEFORE
denied,entered,AFTER
denied,would leave,BEFORE
denied,would send,BEFORE
said,denied,BEFORE
said,a threat,BEFORE
said,said,BEFORE
such a move,could cause,BEGINS
had shared,such a move,BEFORE
said,had shared,AFTER
was studying,taking,BEFORE
said,said,BEFORE
said,was studying,AFTER
said,said,BEFORE
to block,the boy QUOTs return,BEFORE
their battle,to block,BEFORE
lose,their battle,ENDS
might take,lose,AFTER
said,lose,BEFORE
said,might take,BEFORE
might take,harm,BEFORE
said,told,AFTER
aimed,continued U.S. military presence,SIMULTANEOUS
would continue to protest,aimed,AFTER
would continue to protest,would continue to protest,BEFORE
the return,would continue to protest,BEFORE
said,said,BEFORE
will not end,the return,AFTER
said,the return,BEFORE
said,will not end,BEFORE
a rally,said,INCLUDES
perished,sank,AFTER
sank,a crossing,AFTER
perished,a crossing,DURING
his calls,to be returned,BEFORE
has cited,his calls,IS_INCLUDED
noted,said,BEFORE
noted,turned,AFTER
the communist government QUOTs battle,are fighting,INCLUDES
to secure,Elian QUOTs return,BEFORE
the communist government QUOTs battle,to secure,BEFORE
have played,the communist government QUOTs battle,IS_INCLUDED
noted,have played,AFTER
a rally,noted,INCLUDES
declaring,fled,AFTER
declaring,victory,BEFORE
waged,declaring,BEFORE
landed,led,AFTER
wearing,waved,INCLUDES
a rally,wearing,INCLUDES
gives,declared,IS_INCLUDED
a rally,declared,INCLUDES
the fight,an international custody battle,IS_INCLUDED
likened,the fight,AFTER
a rally,likened,INCLUDES
demanding,the return,BEFORE
a rally,demanding,INCLUDES
paid,a rally,IS_INCLUDED
are hoping,get,BEFORE
joked,are hoping,BEFORE
can handle,joked,AFTER
assured,can handle,BEFORE
assured,formed,BEFORE
assuring,assured,IDENTITY
their planned trip,mission,IDENTITY
their planned trip,retrieve,BEFORE
assuring,their planned trip,BEFORE
the trip,their planned trip,IDENTITY
played,assuring,INCLUDES
proposed to go,the trip,INCLUDES
proposed to go,proposed to go,BEFORE
played,proposed to go,AFTER
made,the trip,INCLUDES
would give,made,AFTER
had said,made,BEFORE
had said,would give,BEFORE
said,had said,AFTER
said,came,BEFORE
would not turn,came,AFTER
said,would not turn,BEFORE
have refused to sign,said,BEFORE
to sign,have refused to sign,IDENTITY
have refused to sign,have refused to sign,BEFORE
to sign,their federal court appeal,BEFORE
lose,their federal court appeal,ENDS
to turn,lose,AFTER
to sign,lose,BEFORE
to sign,to turn,BEFORE
has given,to sign,BEFORE
wants,returned,BEFORE
has demanded,wants,BEFORE
are fighting to keep,has demanded,AFTER
saying,has demanded,AFTER
saying,can give,BEFORE
are fighting to keep,saying,INCLUDES
are fighting to keep,are fighting to keep,BEFORE
was rescued,are fighting to keep,BEGINS
sank,the attempted crossing,IS_INCLUDED
sank,the attempted crossing,AFTER
the attempted crossing,the attempted crossing,DURING
died,sank,AFTER
was rescued,died,AFTER
has proposed,to renounce,INCLUDES
said,is considered,AFTER
turning,is considered,AFTER
oppose returning,turning,BEGUN_BY
oppose returning,oppose returning,BEFORE
said,oppose returning,BEFORE
said,oppose returning,AFTER
has proposed,said,BEFORE
the federal appeal,could take,IS_INCLUDED
stay,the federal appeal,BEFORE
has proposed,stay,BEFORE
announced,has proposed,AFTER
to revoke,has proposed,AFTER
another dramatic move,to revoke,BEFORE
announced,to revoke,BEFORE
another dramatic move,announced,AFTER
are seeking to block,his return,BEFORE
are seeking to block,are seeking to block,BEFORE
a federal court appeal,are seeking to block,AFTER
to stay,a federal court appeal,BEFORE
would give,to stay,BEFORE
would not leave,would give,AFTER
would give,would not leave,BEFORE
would give,have proposed,AFTER
said,were getting,AFTER
has said,said,BEFORE
said,has said,AFTER
might try to argue,might try to argue,BEFORE
said,might try to argue,BEFORE
said,said,SIMULTANEOUS
to go,to claim,BEFORE
requests,to go,BEFORE
refused,requests,AFTER
read,a state television station broadcast,IS_INCLUDED
prefers,read,AFTER
prefers,continued,IS_INCLUDED
read,signed,AFTER
to leave,transport,BEFORE
allow,to fly,BEFORE
promised,allow,BEFORE
promised,would turn,BEFORE
would go get,promised,AFTER
said,promised,BEFORE
would go get,would go get,BEFORE
said,would go get,BEFORE
would go get,said,AFTER
said,said,BEFORE
planned to apply,planned to apply,BEFORE
has offered to travel,a solo trip,BEFORE
a group trip,appeared,AFTER
has offered to travel,a group trip,BEFORE
has offered to travel,to pick,BEFORE
has offered to travel,has offered to travel,BEFORE
said,has offered to travel,AFTER
the campaign,to return,BEFORE
to show,the campaign,IS_INCLUDED
his speech,approved,AFTER
approved,delivered,BEFORE
his lightning trip,the trip,IDENTITY
had asked,the trip,BEFORE
his speech,had asked,AFTER
his speech,said,INCLUDES
waiting,assist,INCLUDES
his speech,filed,AFTER
to stay,waiting,DURING
to travel,to stay,BEFORE
his speech,to travel,BEFORE
was not granted,to travel,BEFORE
his speech,was not granted,AFTER
his speech,expressed,INCLUDES
has become,diametrically opposed ideologies,BEFORE
the tragedy,has become,BEGINS
sank,the tragedy,IDENTITY
the crossing,the tragedy,ENDED_BY
sank,the crossing,ENDS
perished,sank,DURING
was rescued,perished,AFTER
insisted,be returned,BEFORE
has demanded,insisted,BEFORE
backed,has demanded,AFTER
has been battling to keep,backed,INCLUDES
saying,can give,BEFORE
has been battling to keep,saying,INCLUDES
has been battling to keep,has been battling to keep,BEFORE
was rescued,has been battling to keep,BEGINS
have been caring,was rescued,BEGUN_BY
said,have been caring,AFTER
will begin,to transfer,BEFORE
arrives,will begin,BEFORE
arriving,arrives,IDENTITY
said,arrives,BEFORE
said,would transfer,BEFORE
did not know,would transfer,BEFORE
said,did not know,AFTER
said,said,BEFORE
traveled,his lightning trip,IDENTITY
would be met,arriving,DURING_INV
will leave,would be met,BEFORE
said,said,BEFORE
will leave,to see,AFTER
Castro QUOTs statement,said,INCLUDES
declared,would be traveling,BEFORE
announced,would be traveling,BEFORE
Castro QUOTs statement,would be traveling,BEFORE
Castro QUOTs statement,announced,AFTER
Castro QUOTs statement,came,INCLUDES
declared,Castro QUOTs statement,IDENTITY
wound,his speech,ENDS
said,wound,INCLUDES
declared,said,IDENTITY
The battle,has been won --,ENDED_BY
declared,The battle,AFTER
declared,told,INCLUDES
declared,am talking,INCLUDES
declared,will be reunited,BEFORE
will follow,want to get,AFTER
want to get,want to get,BEFORE
said,has shown,AFTER
said,will follow,BEFORE
tell,said,IS_INCLUDED
tell,this fight,AFTER
tell,should give,BEFORE
joined,to offer,BEFORE
began COMMA waving,joined,BEFORE
protesters prayed,joined,INCLUDES
protesters prayed,began COMMA waving,INCLUDES
protesters prayed,began COMMA waving,SIMULTANEOUS
were betrayed,said,AFTER
turned,a second betrayal,INCLUDES
were betrayed,turned,BEFORE
Pigs fiasco,were betrayed,BEFORE
Pigs fiasco,left,BEGINS
Pigs fiasco,an aborted invasion,INCLUDES
worried,would fail,BEFORE
worried,to keep,BEFORE
QUOTs being manipulated,QUOTs not telling,BEFORE
said,QUOTs not telling,AFTER
said,QUOTs being manipulated,AFTER
is claiming,said,AFTER
the broadcast,dismissed,BEFORE
lashed,the broadcast,IS_INCLUDED
comment,the show,AFTER
the broadcast,comment,DURING_INV
have filed,denied,BEFORE
have filed,abused,AFTER
have filed,alleging,INCLUDES
said,decides,INCLUDES
said,can not decide,AFTER
said,are QUOTQUOT putting,AFTER
QUOTs told,said,BEFORE
said,said,BEFORE
insisted,wants to return,BEFORE
wants to return,wants to return,BEFORE
insisted,wants to return,AFTER
said,insisted,BEFORE
said,insisted,BEFORE
has spoken,insisted,BEFORE
has spoken,arrived,AFTER
did nQUOTt want to go,did nQUOTt want to go,BEFORE
said,did nQUOTt want to go,INCLUDES
said,said,AFTER
said,said,BEFORE
QUOTs suffering,suffered,AFTER
turning,QUOTs suffering,INCLUDES
are abusing,turning,INCLUDES
are doing,are abusing,INCLUDES
are doing,said,AFTER
to believe,may show,BEFORE
have manipulated,to believe,BEFORE
said,have manipulated,AFTER
lashed,turning,AFTER
accusing,turning,AFTER
lashed,accusing,INCLUDES
was found clinging,the custody battle,BEGINS
comes,the custody battle,IS_INCLUDED
want,comes,BEFORE
being required to surrender,being required to surrender,BEFORE
meet,being required to surrender,AFTER
to let,meet,BEFORE
want,to let,BEFORE
order,to release,BEFORE
to suspend,order,BEFORE
wants,order,BEFORE
wants,to suspend,BEFORE
wants,issued,AFTER
say,have attempted to portray,AFTER
ruling,can speak,BEFORE
has pushed,ruling,INCLUDES
wants to return,the boy QUOTs return,IDENTITY
has pushed,the boy QUOTs return,BEFORE
fleeing,sank,ENDED_BY
drowned,sank,AFTER
fleeing,drowned,INCLUDES
was found clinging,fleeing,AFTER
was found clinging,was found clinging,AFTER
have cared,was found clinging,BEGUN_BY
spent,chanting protesters,INCLUDES
said,spent,AFTER
might send,to pull,BEFORE
was growing,has lived,AFTER
seeking,an asylum hearing,BEFORE
will wait,seeking,AFTER
has said,will wait,BEFORE
wants to return,wants to return,BEFORE
his waiting father,wants to return,INCLUDES
to push,the 6-year-old boy QUOTs swift reunion,BEFORE
would allow,to push,BEFORE
Such a decision,would allow,BEFORE
deciding,Such a decision,IDENTITY
prevents,the removal,BEFORE
a ruling,prevents,INCLUDES
has been asked,a ruling,AFTER
has been asked,to suspend,BEFORE
returned,deciding,AFTER
lobbed,the Elian Gonzalez custody battle,IS_INCLUDED
understand COMMA,said,SIMULTANEOUS
read,understand COMMA,SIMULTANEOUS
read,said,SIMULTANEOUS
said,said,BEFORE
one cancellation,said,BEFORE
going to wait,see,BEFORE
one cancellation,going to wait,BEFORE
only one cancellation,one cancellation,IDENTITY
said,did not expect,BEFORE
The bombings,the embassy bombings,IDENTITY
had received,the embassy bombings,AFTER
had received,only one cancellation,INCLUDES
said,had received,AFTER
has been sending,said,BEFORE
said,has been sending,AFTER
are beginning to develop,said,BEFORE
to improve,are beginning to develop,BEFORE
jumped,to improve,BEFORE
has worked,jumped,AFTER
has worked,to go,BEFORE
The bombing,set,BEFORE
actions,has gone,AFTER
has responded,actions,BEFORE
dropped,has responded,BEFORE
say,said,SIMULTANEOUS
said,do expect,BEFORE
say,to strike,BEFORE
the bombings,the Embassy bombings,IDENTITY
the bombings,organizing,AFTER
the bombings,is accused,BEFORE
say,to believe,BEFORE
the bombings,say,BEFORE
the Aug. 7 Embassy bombings,the bombings,IDENTITY
says,can offer,BEFORE
suffered,may have to be razed,BEFORE
suffered,the blast,AFTER
put,have gone,BEFORE
is expected to be demolished,has finished gathering,BEFORE
have gone,is expected to be demolished,BEFORE
put,visiting,BEFORE
just the bombings,urged,BEFORE
issued,just the bombings,AFTER
has lifted,issued,AFTER
does not want to see,has lifted,BEFORE
terrorist attacks,targeted,AFTER
attacks,terrorist attacks,IDENTITY
does not want to see,terrorist attacks,AFTER
have been reassuring,said,BEFORE
have been reassuring,do nQUOTt see,BEFORE
have been calling,have been reassuring,BEFORE
worried calls,have been calling,IDENTITY
attacks,have been calling,BEFORE
the Aug. 7 Embassy bombings,attacks,IDENTITY
worried calls,attacks,AFTER
report,worried calls,AFTER
say,report,IDENTITY
the Aug. 7 Embassy bombings,left,BEFORE
The bombings,the Aug. 7 Embassy bombings,IDENTITY
say,no mass cancellations,AFTER
have frightened,say,BEFORE
The bombings,beginning to reap,AFTER
The bombings,have frightened,BEFORE
requiring,can be obtained,BEFORE
the 25th anniversary,bombing,BEFORE
dwindled,started,BEGUN_BY
drinking,shooting,AFTER
Men smoking cigars,shooting,AFTER
made,died,BEFORE
the killing,was tyring to draw,AFTER
may have been,the murder,AFTER
was seen,killed,AFTER
were,the homicide,AFTER
was shot,returned,AFTER
took,the opening,AFTER
embarked,met,AFTER
had remained,his opposition work,DURING
was,the Communist era,IS_INCLUDED
the democratic gains,the collapse,AFTER
began,World War II,AFTER
spotted,the shooting,BEFORE
was,was shot,BEFORE
observed,the murder,BEFORE
emerged,the slaying,AFTER
buried,the shooting,BEFORE
could be returned,going,AFTER
do nQUOTt see,could be returned,BEFORE
do nQUOTt see,said,IS_INCLUDED
representing,said,BEFORE
said,said,BEFORE
will be closed,said,AFTER
said,said,BEFORE
said,were dangled,AFTER
said,said,BEFORE
would award,lives,AFTER
said,would award,BEFORE
was sent,would award,AFTER
was sent,said,AFTER
said,said,BEFORE
ruled,the INS ruling,IDENTITY
said,the INS ruling,AFTER
said,said,BEFORE
will pay,said,AFTER
is forced to go,will pay,BEFORE
is forced to go,is forced to go,BEFORE
to keep,the decision,BEFORE
would do,to keep,BEFORE
told,would do,AFTER
started,would do,BEFORE
the start,started,IDENTITY
told,started,IS_INCLUDED
has sought to distance,told,BEFORE
the controversy,the start,BEGUN_BY
has sought to distance,the controversy,AFTER
offered,has sought to distance,AFTER
want to provoke,want to provoke,BEFORE
having to do,want to provoke,BEFORE
a third party escort Elian,having to do,IS_INCLUDED
a third party escort Elian,frees,BEFORE
escort,a third party escort Elian,IDENTITY
has indicated,said,BEFORE
will assist,said,AFTER
offered,said,BEFORE
offered,will assist,BEFORE
will assist,sending,BEFORE
has indicated,will assist,BEFORE
does not want to travel,does not want to travel,BEFORE
has indicated,does not want to travel,INCLUDES
offered,has indicated,AFTER
offered,escort,BEFORE
offered,take,BEFORE
come to pick,come to pick,BEFORE
offered,come to pick,BEFORE
gave,offered,BEFORE
would be transported,the Gonzalez family QUOTs appeals,AFTER
gave,the Gonzalez family QUOTs appeals,BEFORE
gave,would be transported,BEFORE
said,gave,AFTER
said,gave,BEFORE
can not apply,can do,BEFORE
said,can not apply,BEFORE
said,said,BEFORE
pleading,his son QUOTs return,BEFORE
has been coerced,pleading,BEFORE
has been coerced,said,BEFORE
was divorced,said,BEFORE
said COMMA,said,BEFORE
said COMMA,to speak,BEFORE
said is,said COMMA,BEFORE
said is,returned,BEFORE
said,said is,BEFORE
the INS decision,two lengthy interviews,AFTER
the INS ruling,the INS decision,IDENTITY
said,the INS decision,AFTER
said,said,BEFORE
a fight,to keep,BEFORE
put,a fight,BEFORE
the INS ruling,put,BEFORE
and predicting QUOTQUOT,put,BEFORE
a guarded first response,and predicting QUOTQUOT,INCLUDES
warning,and predicting QUOTQUOT,BEFORE
a guarded first response,warning,INCLUDES
gave,the INS ruling,AFTER
gave,a guarded first response,BEFORE
said,gave,BEFORE
has earned,to stay,BEFORE
surviving two days,has earned,BEFORE
said,surviving two days,AFTER
wants,to be separated,BEFORE
wants,said,IS_INCLUDED
said,representing,IS_INCLUDED
attempted to reach,attempted to reach,BEFORE
sank,attempted to reach,AFTER
died,sank,AFTER
be allowed to stay,be allowed to stay,BEFORE
demanding,be allowed to stay,BEFORE
thronged,demanding,INCLUDES
said,spurn,BEFORE
were prepared to file,a court appeal,BEGINS
were prepared to file,were prepared to file,BEFORE
said,were prepared to file,AFTER
sent,said,BEFORE
The decision,sent,BEFORE
said,will suffer,BEFORE
The decision,said,BEFORE
The decision,was met,BEFORE
ruled,The decision,IDENTITY
told,a news conference,IS_INCLUDED
told,told,IDENTITY
decided,should go,BEFORE
has been wooed,theme-park visits,BEFORE
ruled,has been wooed,AFTER
became,ruled,AFTER
became,must be returned,BEFORE
arrived,became,BEFORE
would be treating,his birth,AFTER
a diplomatic struggle,his birth,BEFORE
to reunite,would be treating,BEFORE
may try to disrupt,to reunite,BEFORE
may try to disrupt,may try to disrupt,BEFORE
have indicated,may try to disrupt,BEFORE
decrying,have indicated,AFTER
decrying,will be used,BEFORE
the decision,decrying,BEFORE
plan to appeal,plan to appeal,BEFORE
will play,have indicated,AFTER
have indicated,plan to appeal,BEFORE
the decision,have indicated,BEFORE
announced,will play,BEFORE
a reasonable decision,the decision,IDENTITY
announced,the decision,AFTER
said,adding,BEFORE
met,custody reverting,BEFORE
decided,met,AFTER
a reasonable decision,decided,IDENTITY
argued,a return,BEFORE
interviewed,argued,BEFORE
interviewed,satisfied,BEFORE
a reasonable decision,interviewed,AFTER
were allowed to make,were allowed to make,BEFORE
appears to have moved,were allowed to make,BEFORE
appears to have moved,appears to have moved,BEFORE
Elian not be denied,appears to have moved,BEFORE
has argued,Elian not be denied,BEFORE
has argued,the start,AFTER
was plucked,the start,BEGINS
was plucked,has argued,BEGINS
released,embraced,BEFORE
brought,released,BEFORE
was plucked,brought,BEFORE
clung,was plucked,BEFORE
died COMMA,clung,BEFORE
capsized,died COMMA,BEFORE
were trying to cross,capsized,ENDED_BY
were trying to cross,were trying to cross,BEFORE
ruling,the ruling,IDENTITY
to test,the ruling,AFTER
allowed,to test,BEFORE
setting,allowed,BEFORE
had followed established,setting,AFTER
made,had followed established,AFTER
The decision,made,BEFORE
The decision,will inflame,BEGINS
a reasonable decision,The decision,IDENTITY
survived,an ill-fated migrant smuggling trip,AFTER
a reasonable decision,ruling,IDENTITY
made,a reasonable decision,INCLUDES
will heal,told,AFTER
has told,will heal,BEFORE
has told,has brought,AFTER
will recover,has brought,AFTER
believes,will recover,BEFORE
has told,believes,AFTER
said,has told,AFTER
asking,to respect,BEFORE
has issued,asking,BEFORE
said,has issued,AFTER
intimidate,doing,BEFORE
wo nQUOTt let,intimidate,BEFORE
said,wo nQUOTt let,BEFORE
insists,said,BEFORE
insists,thinks is,AFTER
will continue to stand,thinks is,AFTER
will continue to stand,will continue to stand,BEFORE
insists,will continue to stand,BEFORE
cheered,insists,BEFORE
seemed to shock,seemed to shock,BEFORE
cheered,seemed to shock,BEFORE
appeared,cheered,BEFORE
appeared to be,appeared,IS_INCLUDED
released,appeared to be,BEFORE
was taken,released,BEFORE
felt,was taken,BEFORE
returned,felt,BEFORE
happened,returned,BEFORE
would say,happened,AFTER
went,would say,BEFORE
to try to work,to try to work,BEFORE
went,to try to work,BEFORE
court hearing,went,AFTER
attempt,a resolution,BEFORE
was ostracized,attempt,BEFORE
has gone to court to try to keep,has gone to court to try to keep,BEFORE
has gone to court to try to keep,has gone to court to try to keep,BEFORE
was ostracized,has gone to court to try to keep,BEFORE
was ostracized,has been keeping,AFTER
has broken,was ostracized,BEFORE
exacerbated,flying,AFTER
has broken,exacerbated,BEFORE
6-year-old shipwreck survivor,has broken,BEFORE
went,several family reunions,BEFORE
talked,went,BEFORE
6-year-old shipwreck survivor,talked,AFTER
have learned to forgive and forget and find,have learned to forgive and forget and find,BEFORE
